"";"metric";"name";"value";"Truth";"Prediction"
"1";"accuracy";"cell_1_1";26;"noyade";"noyade"
"2";"accuracy";"cell_2_1";52;"noyade";"pas_de_noyade"
"3";"accuracy";"cell_1_2";32;"pas_de_noyade";"noyade"
"4";"accuracy";"cell_2_2";553;"pas_de_noyade";"pas_de_noyade"
"5";"roc_auc";"cell_1_1";62;"noyade";"noyade"
"6";"roc_auc";"cell_2_1";16;"noyade";"pas_de_noyade"
"7";"roc_auc";"cell_1_2";94;"pas_de_noyade";"noyade"
"8";"roc_auc";"cell_2_2";491;"pas_de_noyade";"pas_de_noyade"
"9";"f_meas";"cell_1_1";51;"noyade";"noyade"
"10";"f_meas";"cell_2_1";27;"noyade";"pas_de_noyade"
"11";"f_meas";"cell_1_2";69;"pas_de_noyade";"noyade"
"12";"f_meas";"cell_2_2";516;"pas_de_noyade";"pas_de_noyade"
"13";"mn_log_loss";"cell_1_1";29;"noyade";"noyade"
"14";"mn_log_loss";"cell_2_1";49;"noyade";"pas_de_noyade"
"15";"mn_log_loss";"cell_1_2";39;"pas_de_noyade";"noyade"
"16";"mn_log_loss";"cell_2_2";546;"pas_de_noyade";"pas_de_noyade"
"17";"ppv";"cell_1_1";26;"noyade";"noyade"
"18";"ppv";"cell_2_1";52;"noyade";"pas_de_noyade"
"19";"ppv";"cell_1_2";32;"pas_de_noyade";"noyade"
"20";"ppv";"cell_2_2";553;"pas_de_noyade";"pas_de_noyade"
"21";"npv";"cell_1_1";71;"noyade";"noyade"
"22";"npv";"cell_2_1";7;"noyade";"pas_de_noyade"
"23";"npv";"cell_1_2";123;"pas_de_noyade";"noyade"
"24";"npv";"cell_2_2";462;"pas_de_noyade";"pas_de_noyade"
